sample_id,group,epoch,country,sex,year_from,year_to,date_mid,date_bp,date_uncertainty,lat,lon,haplogroup
20036,NENE,Neolithic,Turkey,U,-6450.0,-6380.0,-6415.0,8365.0,35.0,37.66666793823242,32.82805633544922,U3b
AED_106,MAGe,Middle Ages,Germany,M,480.0,510.0,495.0,1455.0,15.0,48.29240036010742,11.90530014038086,V3
AED_1108,MAGe,Middle Ages,Germany,F,355.0,532.0,443.5,1506.5,88.5,48.29240036010742,11.90530014038086,U4a2a
AED_1119,MAGe,Middle Ages,Germany,F,510.0,530.0,520.0,1430.0,10.0,48.29240036010742,11.90530014038086,W1e1a
AED_1135,MAGe,Middle Ages,Germany,F,480.0,530.0,505.0,1445.0,25.0,48.29240036010742,11.90530014038086,H60a
AED_125,MAGe,Middle Ages,Germany,F,338.0,535.0,436.5,1513.5,98.5,48.29240036010742,11.90530014038086,K1a
AED_204,MAGe,Middle Ages,Germany,F,480.0,510.0,495.0,1455.0,15.0,48.29240036010742,11.90530014038086,X2b
AED_249,MAGe,Middle Ages,Germany,M,460.0,510.0,485.0,1465.0,25.0,48.29240036010742,11.90530014038086,T2c1d1a
AED_432,MAGe,Middle Ages,Germany,F,480.0,530.0,505.0,1445.0,25.0,48.29240036010742,11.90530014038086,H1h1
AED_513,MAGe,Middle Ages,Germany,F,261.0,535.0,398.0,1552.0,137.0,48.29240036010742,11.90530014038086,H7a
AED_92,MAGe,Middle Ages,Germany,M,480.0,510.0,495.0,1455.0,15.0,48.29240036010742,11.90530014038086,Ua4
AEH_I,MAGe,Middle Ages,Germany,F,346.0,529.0,437.5,1512.5,91.5,48.91669845581055,12.199999809265137,H5
ANI153,CABA,Copper Age,Bulgaria,M,-4551.0,-4374.0,-4462.5,6412.5,88.5,43.209999084472656,27.86000061035156,U4
ANI159,CABA,Copper Age,Bulgaria,M,-4711.0,-4530.0,-4620.5,6570.5,90.5,43.209999084472656,27.86000061035156,T2b2b
ANI160,CABA,Copper Age,Bulgaria,M,-4685.0,-4499.0,-4592.0,6542.0,93.0,43.209999084472656,27.86000061035156,H1ag
ANI163,CABA,Copper Age,Bulgaria,F,-4711.0,-4542.0,-4626.5,6576.5,84.5,43.209999084472656,27.86000061035156,H7a1
AV1,MAHu,Middle Ages,Hungary,F,541.0,637.0,589.0,1361.0,48.0,46.78821563720703,17.842775344848633,X2m'n
AV2,MAHu,Middle Ages,Hungary,F,548.0,641.0,594.5,1355.5,46.5,46.78821563720703,17.842775344848633,X2m'n
Aes11,NESw,Neolithic,Switzerland,F,-3011.0,-2893.0,-2952.0,4902.0,59.0,47.46541213989258,7.601690769195557,K1a3a
Aes12,NESw,Neolithic,Switzerland,M,-3010.0,-2884.0,-2947.0,4897.0,63.0,47.46541213989258,7.601690769195557,H1
Aes13,NESw,Neolithic,Switzerland,M,-3016.0,-2901.0,-2958.5,4908.5,57.5,47.46541213989258,7.601690769195557,X2b+226
Aes16,NESw,Neolithic,Switzerland,F,-3090.0,-2918.0,-3004.0,4954.0,86.0,47.46541213989258,7.601690769195557,K1a2
Aes17,NESw,Neolithic,Switzerland,M,-3011.0,-2889.0,-2950.0,4900.0,61.0,47.46541213989258,7.601690769195557,H10+(16093)
Aes19,NESw,Neolithic,Switzerland,M,-3000.0,-2500.0,-2750.0,4700.0,250.0,47.46541213989258,7.601690769195557,H1
Aes22,NESw,Neolithic,Switzerland,M,-2892.0,-2694.0,-2793.0,4743.0,99.0,47.46541213989258,7.601690769195557,J2b1a2
Aes23,NESw,Neolithic,Switzerland,M,-2881.0,-2676.0,-2778.5,4728.5,102.5,47.46541213989258,7.601690769195557,J2b1a
Aes24,NESw,Neolithic,Switzerland,M,-2912.0,-2877.0,-2894.5,4844.5,17.5,47.46541213989258,7.601690769195557,K2b1a
Aes25,NESw,Neolithic,Switzerland,M,-2864.0,-2501.0,-2682.5,4632.5,181.5,47.46541213989258,7.601690769195557,X2b+226
