name,group,epoch,country,sex,year_from,year_to,haplogroup,fasta_url
I5207,LBK,Neolithic,Austria,M,-5500,-4500,H67,/static_md5/data/fasta/I5207.fa
DA125,IAST,Iron Age,Kazakhstan,M,140,160,U2e2a1,/static_md5/data/fasta/DA125.fa
RISE507,BARu,Bronze Age,Russia,F,-3322,-2923,U5a1a1,/static_md5/data/fasta/RISE507.fa
I3596,BBC,Copper Age,Germany,M,-2300,-2150,H+16129,/static_md5/data/fasta/I3596.fa
I6590,BBC,Copper Age,Germany,F,-2500,-2000,X2c1,/static_md5/data/fasta/I6590.fa
I5208,LBK,Neolithic,Austria,F,-5500,-4500,K1b1a,/static_md5/data/fasta/I5208.fa
I5834,BBC,Copper Age,Germany,F,-2500,-2000,W5,/static_md5/data/fasta/I5834.fa
I5373,BABI,Bronze Age,Great Britain,M,-2194,-1980,X2b+226,/static_md5/data/fasta/I5373.fa
I1496,LBK,Neolithic,Hungary,M,-5211,-4992,K1a3a3,/static_md5/data/fasta/I1496.fa
I1707,PPNE,Neolithic,Jordan,M,-7722,-7541,R0a,/static_md5/data/fasta/I1707.fa
RISE508,BARu,Bronze Age,Russia,F,-3331,-2935,U5a1a1,/static_md5/data/fasta/RISE508.fa
I2601,BABI,Bronze Age,Great Britain,F,-1955,-1750,U5a1b1a,/static_md5/data/fasta/I2601.fa
I0708,NENE,Neolithic,Turkey,M,-6500,-6200,N1b1a,/static_md5/data/fasta/I0708.fa
DA126,MAKa,Middle Ages,Kazakhstan,M,901,920,F2c1,/static_md5/data/fasta/DA126.fa
I3607,BBC,Copper Age,Germany,M,-2350,-2250,W3a1,/static_md5/data/fasta/I3607.fa
I1710,PPNE,Neolithic,Jordan,M,-7733,-7526,T1a2,/static_md5/data/fasta/I1710.fa
I0746,NENE,Neolithic,Turkey,M,-6067,-5892,K1a or K1a1,/static_md5/data/fasta/I0746.fa
I2602,BABI,Bronze Age,Great Britain,M,-1892,-1699,U5b2b,/static_md5/data/fasta/I2602.fa
I2463,BABI,Bronze Age,Great Britain,F,-1925,-1700,J1c3+189,/static_md5/data/fasta/I2463.fa
I1495,LDN,Neolithic,Hungary,M,-4491,-4357,N1a1a1a,/static_md5/data/fasta/I1495.fa
I4914,HGS,Mesolithic,Serbia,M,-6355,-5990,U5a1c1,/static_md5/data/fasta/I4914.fa
I2462,BABI,Bronze Age,Great Britain,F,-2128,-1891,U5a1d2a,/static_md5/data/fasta/I2462.fa
I4665,HGS,Mesolithic,Serbia,F,-6205,-5907,J2b1,/static_md5/data/fasta/I4665.fa
I1099,NENE,Neolithic,Turkey,M,-6500,-6200,T2b,/static_md5/data/fasta/I1099.fa
I4666,HGS,Mesolithic,Serbia,M,-6222,-5912,H40,/static_md5/data/fasta/I4666.fa
I2612,BABI,Bronze Age,Great Britain,F,-2464,-2208,U5b2b2,/static_md5/data/fasta/I2612.fa
I1102,NENE,Neolithic,Turkey,M,-6500,-6200,K1a3a,/static_md5/data/fasta/I1102.fa
I1704,PPNE,Neolithic,Jordan,F,-7446,-7058,T,/static_md5/data/fasta/I1704.fa
I5405,HGS,Mesolithic,Serbia,F,-5836,-5632,HV,/static_md5/data/fasta/I5405.fa
I5658,BBC,Copper Age,Germany,F,-2500,-2000,T2b+152,/static_md5/data/fasta/I5658.fa
I1416,PPNE,Neolithic,Jordan,M,-8300,-7900,None,
I1581,NENE,Neolithic,Turkey,F,-6500,-6200,U3,/static_md5/data/fasta/I1581.fa
I12650,MAIB,Middle Ages,Spain,M,1100,1300,H1e1a,/static_md5/data/fasta/I12650.fa
DA127,IAKa,Iron Age,Kazakhstan,M,252,304,D4b1a2a1,/static_md5/data/fasta/DA127.fa
I2421,BABI,Bronze Age,Great Britain,M,-1930,-1759,U5a1a2a,/static_md5/data/fasta/I2421.fa
I0723,NENE,Neolithic,Turkey,M,-6400,-5600,X2m2,/static_md5/data/fasta/I0723.fa
I2609,BABI,Bronze Age,Great Britain,F,-2022,-1771,K2a,/static_md5/data/fasta/I2609.fa
I2037,LBK,Neolithic,Germany,M,-5210,-5002,H1e,/static_md5/data/fasta/I2037.fa
I7497,MAIB,Middle Ages,Spain,F,1000,1100,H20a,/static_md5/data/fasta/I7497.fa
I7630,BABI,Bronze Age,Great Britain,M,-1879,-1691,U5a,/static_md5/data/fasta/I7630.fa
I7499,MAIB,Middle Ages,Spain,F,1000,1100,H5,/static_md5/data/fasta/I7499.fa
I1727,PPNE,Neolithic,Jordan,M,-8300,-7900,T1a2,/static_md5/data/fasta/I1727.fa
DA128,MAKa,Middle Ages,Kazakhstan,F,1230,1230,D4o2a,/static_md5/data/fasta/DA128.fa
DA130,IAKa,Iron Age,Kazakhstan,M,-357,-284,G2a1,/static_md5/data/fasta/DA130.fa
I5661,BBC,Copper Age,Germany,M,-2500,-2000,K1b1b1,/static_md5/data/fasta/I5661.fa
I1109,NEBA,Neolithic,Bulgaria,F,-5800,-5400,J2b1,/static_md5/data/fasta/I1109.fa
I1415,PPNE,Neolithic,Jordan,M,-8197,-7653,T1a2,/static_md5/data/fasta/I1415.fa
I5441,BABI,Bronze Age,Great Britain,M,-1938,-1744,H1+16239,/static_md5/data/fasta/I5441.fa
I0014,HGN,Mesolithic,Sweden,F,-5877,-5629,U5a2d,/static_md5/data/fasta/I0014.fa
I5663,BBC,Copper Age,Germany,M,-2500,-2000,U5a2+16294,/static_md5/data/fasta/I5663.fa
I0551,SMC,Neolithic,Germany,M,-3400,-3025,U3a1,/static_md5/data/fasta/I0551.fa
I1295,NEBA,Neolithic,Bulgaria,M,-5800,-5400,J1c,/static_md5/data/fasta/I1295.fa
I2461,BABI,Bronze Age,Great Britain,F,-2500,-2140,H5c,/static_md5/data/fasta/I2461.fa
I8570,BAIB,Bronze Age,Spain,M,-1800,-1000,J1c3,/static_md5/data/fasta/I8570.fa
I0559,BAC,Neolithic,Germany,M,-3654,-3527,HV,/static_md5/data/fasta/I0559.fa
I1296,NEBA,Neolithic,Bulgaria,M,-5800,-5400,U5a2,/static_md5/data/fasta/I1296.fa
I2637,NEBI,Neolithic,Great Britain,M,-3629,-3370,K1b1a1,/static_md5/data/fasta/I2637.fa
I2618,BABI,Bronze Age,Great Britain,M,-2134,-1950,H1bs,/static_md5/data/fasta/I2618.fa
I0103,CWC,Neolithic,Germany,F,-2578,-2468,W6a,/static_md5/data/fasta/I0103.fa
I2216,NEBA,Neolithic,Bulgaria,F,-5800,-5400,J2b1,/static_md5/data/fasta/I2216.fa
I5377,BABI,Bronze Age,Great Britain,M,-1894,-1694,T2b,/static_md5/data/fasta/I5377.fa
I5383,BABI,Bronze Age,Great Britain,F,-1090,-900,J1c5f,/static_md5/data/fasta/I5383.fa
I7639,BABI,Bronze Age,Great Britain,F,-2031,-1665,U5a1,/static_md5/data/fasta/I7639.fa
I3879,NEBA,Neolithic,Bulgaria,M,-5800,-5400,H,/static_md5/data/fasta/I3879.fa
DA134,IAST,Iron Age,Russia,M,0,100,I1,/static_md5/data/fasta/DA134.fa
