name,group,epoch,country,sex,year_from,year_to,haplogroup,lat,lon,fasta_url
I5207,LBK,Neolithic,Austria,M,-5500,-4500,H67,48.58000183105469,16.469999313354492,/static_md5/data/fasta/I5207.fa
DA125,IAST,Iron Age,Kazakhstan,M,140,160,U2e2a1,42.593055725097656,68.05055236816406,/static_md5/data/fasta/DA125.fa
RISE507,BARu,Bronze Age,Russia,F,-3322,-2923,U5a1a1,51.5,85.97000122070312,/static_md5/data/fasta/RISE507.fa
I3596,BBC,Copper Age,Germany,M,-2300,-2150,H+16129,48.88330078125,12.53320026397705,/static_md5/data/fasta/I3596.fa
I6590,BBC,Copper Age,Germany,F,-2500,-2000,X2c1,48.840999603271484,12.75,/static_md5/data/fasta/I6590.fa
I5208,LBK,Neolithic,Austria,F,-5500,-4500,K1b1a,48.58000183105469,16.469999313354492,/static_md5/data/fasta/I5208.fa
I5834,BBC,Copper Age,Germany,F,-2500,-2000,W5,48.840999603271484,12.75,/static_md5/data/fasta/I5834.fa
I5373,BABI,Bronze Age,Great Britain,M,-2194,-1980,X2b+226,53.079803466796875,-1.6409419775009155,/static_md5/data/fasta/I5373.fa
I1496,LBK,Neolithic,Hungary,M,-5211,-4992,K1a3a3,47.16999816894531,19.829999923706055,/static_md5/data/fasta/I1496.fa
I1707,PPNE,Neolithic,Jordan,M,-7722,-7541,R0a,31.989999771118164,35.97999954223633,/static_md5/data/fasta/I1707.fa
RISE508,BARu,Bronze Age,Russia,F,-3331,-2935,U5a1a1,51.5,85.97000122070312,/static_md5/data/fasta/RISE508.fa
I2601,BABI,Bronze Age,Great Britain,F,-1955,-1750,U5a1b1a,51.33000183105469,1.3600000143051147,/static_md5/data/fasta/I2601.fa
I0708,NENE,Neolithic,Turkey,M,-6500,-6200,N1b1a,40.29999923706055,29.56999969482422,/static_md5/data/fasta/I0708.fa
DA126,MAKa,Middle Ages,Kazakhstan,M,901,920,F2c1,43.3849983215332,77.5411148071289,/static_md5/data/fasta/DA126.fa
I3607,BBC,Copper Age,Germany,M,-2350,-2250,W3a1,48.66389846801758,13.073599815368652,/static_md5/data/fasta/I3607.fa
I1710,PPNE,Neolithic,Jordan,M,-7733,-7526,T1a2,31.989999771118164,35.97999954223633,/static_md5/data/fasta/I1710.fa
I0746,NENE,Neolithic,Turkey,M,-6067,-5892,K1a or K1a1,40.29999923706055,29.56999969482422,/static_md5/data/fasta/I0746.fa
I2602,BABI,Bronze Age,Great Britain,M,-1892,-1699,U5b2b,51.33000183105469,1.3600000143051147,/static_md5/data/fasta/I2602.fa
I2463,BABI,Bronze Age,Great Britain,F,-1925,-1700,J1c3+189,51.33000183105469,1.3600000143051147,/static_md5/data/fasta/I2463.fa
I1495,LDN,Neolithic,Hungary,M,-4491,-4357,N1a1a1a,47.16999816894531,19.829999923706055,/static_md5/data/fasta/I1495.fa
I4914,HGS,Mesolithic,Serbia,M,-6355,-5990,U5a1c1,44.63999938964844,22.299999237060547,/static_md5/data/fasta/I4914.fa
I2462,BABI,Bronze Age,Great Britain,F,-2128,-1891,U5a1d2a,51.33000183105469,1.3600000143051147,/static_md5/data/fasta/I2462.fa
I4665,HGS,Mesolithic,Serbia,F,-6205,-5907,J2b1,44.54999923706055,22.030000686645508,/static_md5/data/fasta/I4665.fa
I1099,NENE,Neolithic,Turkey,M,-6500,-6200,T2b,40.29999923706055,29.56999969482422,/static_md5/data/fasta/I1099.fa
I4666,HGS,Mesolithic,Serbia,M,-6222,-5912,H40,44.54999923706055,22.030000686645508,/static_md5/data/fasta/I4666.fa
I2612,BABI,Bronze Age,Great Britain,F,-2464,-2208,U5b2b2,54.882999420166016,-1.4520000219345093,/static_md5/data/fasta/I2612.fa
I1102,NENE,Neolithic,Turkey,M,-6500,-6200,K1a3a,40.29999923706055,29.56999969482422,/static_md5/data/fasta/I1102.fa
I1704,PPNE,Neolithic,Jordan,F,-7446,-7058,T,31.989999771118164,35.97999954223633,/static_md5/data/fasta/I1704.fa
I5405,HGS,Mesolithic,Serbia,F,-5836,-5632,HV,44.54999923706055,22.030000686645508,/static_md5/data/fasta/I5405.fa
I5658,BBC,Copper Age,Germany,F,-2500,-2000,T2b+152,48.840999603271484,12.75,/static_md5/data/fasta/I5658.fa
I1416,PPNE,Neolithic,Jordan,M,-8300,-7900,None,31.989999771118164,35.97999954223633,
I1581,NENE,Neolithic,Turkey,F,-6500,-6200,U3,40.29999923706055,29.56999969482422,/static_md5/data/fasta/I1581.fa
I12650,MAIB,Middle Ages,Spain,M,1100,1300,H1e1a,39.46969985961914,-0.3774000108242035,/static_md5/data/fasta/I12650.fa
DA127,IAKa,Iron Age,Kazakhstan,M,252,304,D4b1a2a1,42.99055480957031,79.3691635131836,/static_md5/data/fasta/DA127.fa
I2421,BABI,Bronze Age,Great Britain,M,-1930,-1759,U5a1a2a,54.882999420166016,-1.4520000219345093,/static_md5/data/fasta/I2421.fa
I0723,NENE,Neolithic,Turkey,M,-6400,-5600,X2m2,40.2599983215332,29.649999618530273,/static_md5/data/fasta/I0723.fa
I2609,BABI,Bronze Age,Great Britain,F,-2022,-1771,K2a,54.979000091552734,-2.122999906539917,/static_md5/data/fasta/I2609.fa
I2037,LBK,Neolithic,Germany,M,-5210,-5002,H1e,51.89583206176758,11.046667098999023,/static_md5/data/fasta/I2037.fa
I7497,MAIB,Middle Ages,Spain,F,1000,1100,H20a,37.80710983276367,-2.543041706085205,/static_md5/data/fasta/I7497.fa
I7630,BABI,Bronze Age,Great Britain,M,-1879,-1691,U5a,53.72618865966797,-0.5296409726142883,/static_md5/data/fasta/I7630.fa
I7499,MAIB,Middle Ages,Spain,F,1000,1100,H5,37.80710983276367,-2.543041706085205,/static_md5/data/fasta/I7499.fa
I1727,PPNE,Neolithic,Jordan,M,-8300,-7900,T1a2,31.989999771118164,35.97999954223633,/static_md5/data/fasta/I1727.fa
DA128,MAKa,Middle Ages,Kazakhstan,F,1230,1230,D4o2a,43.524444580078125,77.75833129882812,/static_md5/data/fasta/DA128.fa
DA130,IAKa,Iron Age,Kazakhstan,M,-357,-284,G2a1,43.36861038208008,77.42666625976562,/static_md5/data/fasta/DA130.fa
I5661,BBC,Copper Age,Germany,M,-2500,-2000,K1b1b1,48.840999603271484,12.75,/static_md5/data/fasta/I5661.fa
I1109,NEBA,Neolithic,Bulgaria,F,-5800,-5400,J2b1,43.97999954223633,26.399999618530273,/static_md5/data/fasta/I1109.fa
I1415,PPNE,Neolithic,Jordan,M,-8197,-7653,T1a2,31.989999771118164,35.97999954223633,/static_md5/data/fasta/I1415.fa
I5441,BABI,Bronze Age,Great Britain,M,-1938,-1744,H1+16239,50.426082611083984,-3.5805370807647705,/static_md5/data/fasta/I5441.fa
I0014,HGN,Mesolithic,Sweden,F,-5877,-5629,U5a2d,58.540000915527344,15.050000190734863,/static_md5/data/fasta/I0014.fa
I5663,BBC,Copper Age,Germany,M,-2500,-2000,U5a2+16294,48.840999603271484,12.75,/static_md5/data/fasta/I5663.fa
I0551,SMC,Neolithic,Germany,M,-3400,-3025,U3a1,51.529998779296875,11.829999923706055,/static_md5/data/fasta/I0551.fa
I1295,NEBA,Neolithic,Bulgaria,M,-5800,-5400,J1c,43.97999954223633,26.399999618530273,/static_md5/data/fasta/I1295.fa
I2461,BABI,Bronze Age,Great Britain,F,-2500,-2140,H5c,51.130001068115234,-1.690000057220459,/static_md5/data/fasta/I2461.fa
I8570,BAIB,Bronze Age,Spain,M,-1800,-1000,J1c3,40.13909912109375,0.10540000349283218,/static_md5/data/fasta/I8570.fa
I0559,BAC,Neolithic,Germany,M,-3654,-3527,HV,51.790000915527344,11.140000343322754,/static_md5/data/fasta/I0559.fa
I1296,NEBA,Neolithic,Bulgaria,M,-5800,-5400,U5a2,43.97999954223633,26.399999618530273,/static_md5/data/fasta/I1296.fa
I2637,NEBI,Neolithic,Great Britain,M,-3629,-3370,K1b1a1,59.349998474121094,-2.872999906539917,/static_md5/data/fasta/I2637.fa
I2618,BABI,Bronze Age,Great Britain,M,-2134,-1950,H1bs,55.05799865722656,-2.1470000743865967,/static_md5/data/fasta/I2618.fa
I0103,CWC,Neolithic,Germany,F,-2578,-2468,W6a,51.41999816894531,11.680000305175781,/static_md5/data/fasta/I0103.fa
I2216,NEBA,Neolithic,Bulgaria,F,-5800,-5400,J2b1,43.97999954223633,26.399999618530273,/static_md5/data/fasta/I2216.fa
I5377,BABI,Bronze Age,Great Britain,M,-1894,-1694,T2b,51.471195220947266,-0.2664079964160919,/static_md5/data/fasta/I5377.fa
I5383,BABI,Bronze Age,Great Britain,F,-1090,-900,J1c5f,54.15510559082031,-2.4720489978790283,/static_md5/data/fasta/I5383.fa
I7639,BABI,Bronze Age,Great Britain,F,-2031,-1665,U5a1,52.276939392089844,0.461901992559433,/static_md5/data/fasta/I7639.fa
I3879,NEBA,Neolithic,Bulgaria,M,-5800,-5400,H,43.97999954223633,26.399999618530273,/static_md5/data/fasta/I3879.fa
DA134,IAST,Iron Age,Russia,M,0,100,I1,47.29344940185547,39.54597854614258,/static_md5/data/fasta/DA134.fa
I2639,BABI,Bronze Age,Great Britain,F,-1600,-1430,T2e1a,51.15999984741211,-1.7699999809265137,/static_md5/data/fasta/I2639.fa
I2796,NEBI,Neolithic,Great Britain,M,-3705,-3535,H3,59.31010055541992,-2.9407150745391846,/static_md5/data/fasta/I2796.fa
I7570,BABI,Bronze Age,Great Britain,M,-1735,-1531,T2b4+152,52.6963005065918,-0.3400000035762787,/static_md5/data/fasta/I7570.fa
RISE61,NESC,Neolithic,Denmark,M,-2851,-2492,J1c4,55.70000076293945,11.859999656677246,
Rev5,NEGr,Neolithic,Greece,F,-6438,-6264,X2b,40.31999969482422,22.579999923706055,/static_md5/data/fasta/Rev5.fa
I8571,BAIB,Bronze Age,Spain,M,-1800,-1000,K1a2c,40.13909912109375,0.10540000349283218,/static_md5/data/fasta/I8571.fa
I5656,BBC,Copper Age,Germany,U,-2500,-2000,T2g2,48.840999603271484,12.75,/static_md5/data/fasta/I5656.fa
I7575,BABI,Bronze Age,Great Britain,M,-1263,-1043,U5a1d1,52.12240219116211,-0.5113649964332581,/static_md5/data/fasta/I7575.fa
I7577,BABI,Bronze Age,Great Britain,M,-1386,-1123,U5a1a1,52.12240219116211,-0.5113649964332581,/static_md5/data/fasta/I7577.fa
I3708,NEGr,Neolithic,Greece,F,-5500,-3700,T1a,36.63999938964844,22.3799991607666,/static_md5/data/fasta/I3708.fa
I1701,PPNE,Neolithic,Jordan,F,-7750,-7569,K1a18,31.989999771118164,35.97999954223633,/static_md5/data/fasta/I1701.fa
I3709,NEGr,Neolithic,Greece,F,-3990,-3804,K1b1a,36.63999938964844,22.3799991607666,/static_md5/data/fasta/I3709.fa
I3920,NEGr,Neolithic,Greece,F,-3933,-3706,H,36.63999938964844,22.3799991607666,/static_md5/data/fasta/I3920.fa
DA136,IAST,Iron Age,Russia,M,0,100,A+152+16362,47.2842903137207,39.5333137512207,
I7580,BABI,Bronze Age,Great Britain,F,-1256,-1018,U5b2a1a,52.12240219116211,-0.5113649964332581,/static_md5/data/fasta/I7580.fa
RISE392,BARu,Bronze Age,Russia,M,-2126,-1896,J2b1a2a,53.880001068115234,59.08000183105469,/static_md5/data/fasta/RISE392.fa
I3604,BBC,Copper Age,Germany,M,-2350,-2250,HV9,48.66389846801758,13.073599815368652,/static_md5/data/fasta/I3604.fa
I2318,NEGr,Neolithic,Greece,F,-4043,-3947,H2,37.41999816894531,23.1299991607666,/static_md5/data/fasta/I2318.fa
I1926,TRP,Neolithic,Ukraine,M,-3931,-3640,H5a,48.470001220703125,25.530000686645508,/static_md5/data/fasta/I1926.fa
RISE577,UNC,Bronze Age,Czech Republic,F,-2300,-1800,T2b,50.15999984741211,14.3100004196167,/static_md5/data/fasta/RISE577.fa
I5401,HGS,Mesolithic,Serbia,M,-7076,-6699,U5a1,44.63999938964844,22.299999237060547,/static_md5/data/fasta/I5401.fa
I7626,BABI,Bronze Age,Great Britain,F,-1395,-1130,T2b,52.12240219116211,-0.5113649964332581,/static_md5/data/fasta/I7626.fa
I2111,TRP,Neolithic,Ukraine,M,-3758,-3636,HV,48.470001220703125,25.530000686645508,/static_md5/data/fasta/I2111.fa
